source,dataset,date,time,latitude,longitude,variable,value,unit
open_meteo,historical_weather,2026-05-06,2026-05-06T00:00,40.386642,-3.6760864,temperature_2m,12.5,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T00:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T01:00,40.386642,-3.6760864,temperature_2m,11.1,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T01:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T02:00,40.386642,-3.6760864,temperature_2m,10.9,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T02:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T03:00,40.386642,-3.6760864,temperature_2m,10.4,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T03:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T04:00,40.386642,-3.6760864,temperature_2m,9.9,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T04:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T05:00,40.386642,-3.6760864,temperature_2m,9.4,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T05:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T06:00,40.386642,-3.6760864,temperature_2m,8.4,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T06:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T07:00,40.386642,-3.6760864,temperature_2m,7.5,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T07:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T08:00,40.386642,-3.6760864,temperature_2m,7.8,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T08:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T09:00,40.386642,-3.6760864,temperature_2m,9.4,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T09:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T10:00,40.386642,-3.6760864,temperature_2m,11.5,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T10:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T11:00,40.386642,-3.6760864,temperature_2m,13.8,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T11:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T12:00,40.386642,-3.6760864,temperature_2m,15.5,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T12:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T13:00,40.386642,-3.6760864,temperature_2m,17.3,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T13:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T14:00,40.386642,-3.6760864,temperature_2m,17.0,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T14:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T15:00,40.386642,-3.6760864,temperature_2m,18.8,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T15:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T16:00,40.386642,-3.6760864,temperature_2m,19.5,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T16:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T17:00,40.386642,-3.6760864,temperature_2m,19.9,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T17:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T18:00,40.386642,-3.6760864,temperature_2m,20.1,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T18:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T19:00,40.386642,-3.6760864,temperature_2m,20.0,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T19:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T20:00,40.386642,-3.6760864,temperature_2m,19.2,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T20:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T21:00,40.386642,-3.6760864,temperature_2m,18.0,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T21:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T22:00,40.386642,-3.6760864,temperature_2m,16.6,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T22:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,historical_weather,2026-05-06,2026-05-06T23:00,40.386642,-3.6760864,temperature_2m,15.4,°C
open_meteo,historical_weather,2026-05-06,2026-05-06T23:00,40.386642,-3.6760864,precipitation,0.0,mm
open_meteo,air_quality,2026-05-06,2026-05-06T00:00,40.4,-3.6999989,ozone,67.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T00:00,40.4,-3.6999989,carbon_dioxide,452,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T01:00,40.4,-3.6999989,ozone,62.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T01:00,40.4,-3.6999989,carbon_dioxide,455,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T02:00,40.4,-3.6999989,ozone,55.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T02:00,40.4,-3.6999989,carbon_dioxide,458,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T03:00,40.4,-3.6999989,ozone,46.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T03:00,40.4,-3.6999989,carbon_dioxide,460,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T04:00,40.4,-3.6999989,ozone,41.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T04:00,40.4,-3.6999989,carbon_dioxide,462,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T05:00,40.4,-3.6999989,ozone,35.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T05:00,40.4,-3.6999989,carbon_dioxide,463,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T06:00,40.4,-3.6999989,ozone,31.0,μg/m³
open_meteo,air_quality,2026-05-06,2026-05-06T06:00,40.4,-3.6999989,carbon_dioxide,463,ppm
open_meteo,air_quality,2026-05-06,2026-05-06T07:00,40.4,-3.6999989,ozone,22.0,μg/m³
